,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),Class_cleaned
8,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,bombina,Firebelly toad,1095.0,1095.0,,,190.0,,,,,,,20.0,captivity,medium,acceptable,,,,,,Amphibians
9,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,orientalis,Oriental firebelly toad,,,,,148.0,,,,,,,15.8,captivity,large,acceptable,,,,,,Amphibians
10,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,variegata,Yellow-bellied toad,,,,,73.0,,,,,,,29.0,captivity,medium,acceptable,,,,,,Amphibians
11,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad,910.0,910.0,8.0,,6000.0,,365.0,,,21.7667,,36.0,captivity,medium,acceptable,,,0.00829,21.6,288.0,Amphibians
12,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,Western toad,1095.0,1095.0,6.0,,5200.0,,,,,,,11.5,captivity,medium,acceptable,,,,,,Amphibians
13,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,canorus,Yosemite toad,1825.0,1460.0,11.0,,1750.0,,,,,,,15.0,wild,medium,acceptable,,,,,,Amphibians
15,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,debilis,Green toad,,,,,1300.0,,,,,,,12.4,captivity,small,acceptable,,,,,,Amphibians
16,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,hemiophrys,Canadian toad,730.0,730.0,,,,,,,,,,13.3,captivity,small,acceptable,,,,,,Amphibians
17,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,punctatus,Red-spotted toad,730.0,730.0,,,1500.0,,,,,,,11.3,captivity,medium,acceptable,,,,,,Amphibians
18,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,retiformis,Sonoran green toad,,,2.0,,,,,,,,,15.3,captivity,small,acceptable,,,,,,Amphibians
19,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad,,,3.0,,3250.0,,,,,19.267,,10.0,captivity,medium,acceptable,,,0.00698,19.2,288.0,Amphibians
20,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,varius,Veragoa stubfoot toad,,,,,,,,,,,,10.0,captivity,large,acceptable,,,,,,Amphibians
21,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,bufo,Common European toad,1460.0,1460.0,,,,,,,,,,40.0,captivity,medium,acceptable,,,,,,Amphibians
22,Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,alvarius,Colorado river toad,,1095.0,,,7750.0,,,,,,,15.4,captivity,medium,acceptable,,,,,,Amphibians
24,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,lemur,Ridge-headed toad,,,,,,,,,,,,10.7,captivity,small,acceptable,,,,,,Amphibians
25,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,peltocephala,Cuban toad,,,,,,,,,,,,20.0,captivity,small,acceptable,,,,,,Amphibians
26,Animalia,Chordata,Amphibia,Anura,Bufonidae,Pseudepidalea,viridis,European green toad,,,,,,,,,,,,11.9,captivity,large,acceptable,,,,,,Amphibians
27,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhaebo,blombergi,Colombian giant toad,,,,,,,,,,,,28.7,captivity,tiny,acceptable,,,,,,Amphibians
29,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Cane toad,365.0,365.0,2.0,,10000.0,,,,,106.25,,24.8,captivity,large,acceptable,,,0.0303,105.0,293.0,Amphibians
30,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,schneideri,Eurura toad,,,,,,,,,,,,15.1,captivity,small,acceptable,,,,,,Amphibians
31,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,aurita,Common horned frog,,,,,,,,,,,,12.8,captivity,small,acceptable,,,,,,Amphibians
32,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,calcarata,Colombian horned frog,,,,,,,,,,,,15.9,captivity,tiny,acceptable,,,,,,Amphibians
33,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,cornuta,Amazonian horned frog,,,,,,,,,,,,10.3,captivity,small,acceptable,,,,,,Amphibians
34,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,ornata,Ornate horned frog,,,,,,,,,,,,14.7,captivity,medium,acceptable,,,,,,Amphibians
35,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,auratus,Green and black dart-poison frog,365.0,365.0,12.0,,6.0,,,,,,,20.5,captivity,large,acceptable,,,,,,Amphibians
36,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,leucomelas,Yellow-banded poison frog,75.0,75.0,12.0,,7.0,,,,,,,11.5,captivity,large,acceptable,,,,,,Amphibians
38,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,histrionica,Kokoe-pa poison dart frog,,,,,,,,,,,,9.1,captivity,medium,acceptable,,,,,,Amphibians
39,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,pumilio,Strawberry poison frog,,,,,,,,,,,,7.5,captivity,medium,acceptable,,,,,,Amphibians
41,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,occipitalis,African tigrine frog,,,,,,,,,,48.1,,10.9,captivity,small,acceptable,,,,,,Amphibians
45,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,spurrelli,Maroon-eyed tree frog,,,,,,,,,,,,5.5,captivity,tiny,acceptable,,,,,,Amphibians
46,Animalia,Chordata,Amphibia,Anura,Hylidae,Diaglena,spatulata,Treefrog,,,,,,,,,,,,12.8,captivity,tiny,acceptable,,,,,,Amphibians
47,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,arborea,European tree frog,,,,,,,,,,,,22.0,captivity,small,acceptable,,,,,,Amphibians
48,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,chrysoscelis,Cope's gray treefrog,730.0,547.0,21.0,,35.0,,,,,,,7.8,captivity,medium,acceptable,,,,,,Amphibians
50,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,gratiosa,Barking treefrog,,,,,2250.0,,,,,,,12.5,captivity,medium,acceptable,,,,,,Amphibians
51,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,japonica,Japanese treefrog,1278.0,1278.0,,,920.0,,,,,,,8.9,captivity,small,acceptable,,,,,,Amphibians
52,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,squirella,Squirrel treefrog,,,1.0,,1000.0,1.0,,,,,,8.5,captivity,medium,acceptable,,,,,,Amphibians
53,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,versicolor,Gray treefrog,730.0,730.0,4.0,,1800.0,,,,,7.2,,7.8,captivity,medium,acceptable,,,0.00433,6.97,290.5,Amphibians
55,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,caerulea,Australian green treefrog,,,,,1100.0,,,,,,,20.0,captivity,large,acceptable,,,,,,Amphibians
56,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,septentrionalis,Cuban treefrog,255.0,120.0,1.0,,1500.0,,,,,,,12.9,captivity,medium,acceptable,,,,,,Amphibians
